Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7.00,26.1415,548.97,1/5/2019,1:08:00 PM,Ewallet,522.83,4.7619,26.1415,9.1000
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5.00,3.8200,80.22,3/8/2019,10:29:00 AM,Cash,76.40,4.7619,3.8200,9.6000
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7.00,16.2155,340.53,3/3/2019,1:23:00 PM,Credit card,324.31,4.7619,16.2155,7.4000
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8.00,23.2880,489.05,1/27/2019,8:33:00 PM,Ewallet,465.76,4.7619,23.2880,8.4000
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7.00,30.2085,634.38,2/8/2019,10:37:00 AM,Ewallet,604.17,4.7619,30.2085,5.3000
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7.00,29.8865,627.62,3/25/2019,6:30:00 PM,Ewallet,597.73,4.7619,29.8865,4.1000
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6.00,20.6520,433.69,2/25/2019,2:36:00 PM,Ewallet,413.04,4.7619,20.6520,5.8000
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10.00,36.7800,772.38,2/24/2019,11:38:00 AM,Ewallet,735.60,4.7619,36.7800,8.0000
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2.00,3.6260,76.15,1/10/2019,5:15:00 PM,Credit card,72.52,4.7619,3.6260,7.2000
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3.00,8.2260,172.75,2/20/2019,1:27:00 PM,Credit card,164.52,4.7619,8.2260,5.9000
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4.00,2.8960,60.82,2/6/2019,6:07:00 PM,Ewallet,57.92,4.7619,2.8960,4.5000
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4.00,5.1020,107.14,3/9/2019,5:03:00 PM,Cash,102.04,4.7619,5.1020,6.8000
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5.00,11.7375,246.49,2/12/2019,10:25:00 AM,Ewallet,234.75,4.7619,11.7375,7.1000
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10.00,21.5950,453.50,2/7/2019,4:48:00 PM,Ewallet,431.90,4.7619,21.5950,8.2000
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10.00,35.6900,749.49,3/29/2019,7:21:00 PM,Cash,713.80,4.7619,35.6900,5.7000
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6.00,28.1160,590.44,1/15/2019,4:19:00 PM,Cash,562.32,4.7619,28.1160,4.5000
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7.00,24.1255,506.64,3/11/2019,11:03:00 AM,Credit card,482.51,4.7619,24.1255,4.6000
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6.00,21.7830,457.44,1/1/2019,10:39:00 AM,Credit card,435.66,4.7619,21.7830,6.9000
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3.00,8.2005,172.21,1/21/2019,6:00:00 PM,Credit card,164.01,4.7619,8.2005,8.6000
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.30,2.00,4.0300,84.63,3/11/2019,3:30:00 PM,Ewallet,80.60,4.7619,4.0300,4.4000
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5.00,21.5100,451.71,2/25/2019,11:24:00 AM,Ewallet,430.20,4.7619,21.5100,4.8000
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3.00,13.1970,277.14,3/5/2019,10:40:00 AM,Ewallet,263.94,4.7619,13.1970,5.1000
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.20,2.00,3.3200,69.72,3/15/2019,12:20:00 PM,Credit card,66.40,4.7619,3.3200,4.4000
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5.00,8.6400,181.44,2/17/2019,11:15:00 AM,Ewallet,172.80,4.7619,8.6400,9.9000
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3.00,13.2945,279.18,3/2/2019,5:36:00 PM,Ewallet,265.89,4.7619,13.2945,6.0000
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8.00,21.0360,441.76,3/22/2019,7:20:00 PM,Credit card,420.72,4.7619,21.0360,8.5000
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1.00,1.6760,35.20,2/8/2019,3:31:00 PM,Cash,33.52,4.7619,1.6760,6.7000
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2.00,8.7670,184.11,3/10/2019,12:17:00 PM,Credit card,175.34,4.7619,8.7670,7.7000
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5.00,22.0900,463.89,1/25/2019,7:48:00 PM,Cash,441.80,4.7619,22.0900,9.6000
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9.00,11.2005,235.21,3/15/2019,3:36:00 PM,Cash,224.01,4.7619,11.2005,7.4000
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5.00,23.5325,494.18,2/25/2019,7:39:00 PM,Credit card,470.65,4.7619,23.5325,4.8000
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9.00,35.1315,737.76,1/28/2019,12:43:00 PM,Cash,702.63,4.7619,35.1315,4.5000
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8.00,33.5120,703.75,1/10/2019,2:49:00 PM,Cash,670.24,4.7619,33.5120,5.1000
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2.00,9.6580,202.82,3/15/2019,10:12:00 AM,Credit card,193.16,4.7619,9.6580,5.1000
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4.00,19.8840,417.56,2/6/2019,10:42:00 AM,Ewallet,397.68,4.7619,19.8840,7.5000
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1.00,3.4060,71.53,1/7/2019,12:28:00 PM,Ewallet,68.12,4.7619,3.4060,6.8000
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5.00,15.6550,328.76,3/10/2019,7:15:00 PM,Ewallet,313.10,4.7619,15.6550,7.0000
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9.00,27.3960,575.32,1/15/2019,5:17:00 PM,Ewallet,547.92,4.7619,27.3960,4.7000
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8.00,21.9680,461.33,3/23/2019,1:24:00 PM,Ewallet,439.36,4.7619,21.9680,7.6000
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8.00,12.0480,253.01,3/3/2019,1:01:00 PM,Cash,240.96,4.7619,12.0480,7.7000
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1.00,4.3360,91.06,1/17/2019,6:45:00 PM,Ewallet,86.72,4.7619,4.3360,7.9000
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2.00,5.6110,117.83,2/2/2019,10:11:00 AM,Cash,112.22,4.7619,5.6110,6.3000
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6.00,20.7360,435.46,2/8/2019,1:03:00 PM,Cash,414.72,4.7619,20.7360,5.6000
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.70,8.00,39.4800,829.08,3/4/2019,8:39:00 PM,Cash,789.60,4.7619,39.4800,7.6000
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2.00,1.5370,32.28,3/16/2019,7:47:00 PM,Cash,30.74,4.7619,1.5370,7.2000
